molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4455232,c1cc2ccc(-c3nnc4ccc(-c5ccoc5)cn34)cc2[nH]1,300.321,4.137600000000003,1.0,4.0,3.0
CHEMBL4533043,CS(=O)(=O)Nc1cccc(-c2nnc3ccc(-c4ccoc4)cn23)c1,354.3910000000001,3.027800000000001,1.0,6.0,3.0
CHEMBL4517120,O=C(O)c1cccc(-c2nnc3ccc(-c4ccoc4)cn23)c1,305.293,3.3545000000000016,1.0,5.0,3.0
CHEMBL4457965,c1cncc(-c2nnc3ccc(-c4ccoc4)cn23)c1,262.27200000000005,3.0513000000000012,0.0,5.0,4.011887159731648
CHEMBL4441767,c1ccc(-c2nnc3ccc(-c4ccoc4)cn23)cc1,261.284,3.6563000000000025,0.0,4.0,3.0
CHEMBL4441982,COc1cccc(-c2nnc3ccc(-c4ccoc4)cn23)c1,291.31,3.664900000000003,0.0,5.0,3.0
CHEMBL4558682,Oc1cc(F)cc(-c2nnc3ccc(-c4ccoc4)cn23)c1,295.273,3.501000000000002,1.0,5.0,3.0
CHEMBL4577761,Oc1cccc(-c2nnc3ccc(-c4ccoc4)cn23)c1F,295.273,3.501000000000002,1.0,5.0,3.3467874862246565
CHEMBL4436486,Oc1cccc(-n2nnc3ccc(-c4ccoc4)cc32)c1,277.2830000000001,3.3861000000000017,1.0,5.0,5.0
CHEMBL4538015,Oc1cccc(-n2nnc3cnc(-c4ccoc4)nc32)c1,279.25900000000007,2.1761,1.0,7.0,3.0
CHEMBL4582500,Oc1cccc(-n2cnc3cnc(-c4ccoc4)nc32)c1,278.271,2.7811000000000003,1.0,6.0,4.00436480540245
CHEMBL4577803,Oc1cccc(-c2cnc3ccc(-c4ccoc4)cn23)c1,276.295,3.9669000000000025,1.0,4.0,3.0
CHEMBL4462446,Oc1cccc(-c2cnc3ccc(-c4ccoc4)nn23)c1,277.283,3.361900000000002,1.0,5.0,3.0
